Year;Month;Date;Zip Code;Active Energy (kWh)
2022;1;2022-01;8300;3407569.991
2022;1;2022-01;8600;14100845.009
2022;1;2022-01;8670;2372436.082
2022;1;2022-01;8700;10934465.845
2022;1;2022-01;8800;10055263.311
2022;2;2022-02;1170;5926306.272
2022;2;2022-02;1200;15175545.345
2022;2;2022-02;1300;9691473.272
2022;2;2022-02;1350;7346657.135
2022;2;2022-02;1885;2559035.788
2022;2;2022-02;1900;7426428.791
2022;2;2022-02;1990;13751650.148
2022;2;2022-02;2090;2774820.662
2022;2;2022-02;2120;3102006.87
2022;2;2022-02;2125;2519099.419
2022;2;2022-02;2140;3978543.117
2022;2;2022-02;2205;6390910.408
2022;2;2022-02;2250;6840443.867
2022;2;2022-02;2260;1638481.724
2022;2;2022-02;2300;6501017.837
2022;2;2022-02;2350;21052757.379
2022;2;2022-02;2395;760204.676
2022;2;2022-02;2400;10447290.555
2022;2;2022-02;2405;9308589.332
2022;2;2022-02;2415;10238579.45
2022;2;2022-02;2420;7467113.901
2022;2;2022-02;2425;8299691.627
2022;2;2022-02;2435;4540371.593
2022;2;2022-02;2440;4964463.24
2022;2;2022-02;2445;6739394.111
2022;2;2022-02;2450;6386750.82
2022;2;2022-02;2480;11648407.758
2022;2;2022-02;2485;824914.365
2022;2;2022-02;2490;3976488.532
2022;2;2022-02;2495;9711087.272
2022;2;2022-02;2500;16149911.424
2022;2;2022-02;2530;6868218.461
2022;2;2022-02;2550;4151019.668
2022;2;2022-02;2560;16626112.556
2022;2;2022-02;2605;5561231.167
2022;2;2022-02;2610;7201853.538
2022;2;2022-02;2619;8286.414
2022;2;2022-02;2635;12867834.876
2022;2;2022-02;2650;7258861.26
2022;2;2022-02;2655;3953306.366
2022;2;2022-02;2670;13099645.76
2022;2;2022-02;2685;8852782.079
2022;2;2022-02;2705;9321203.618
2022;2;2022-02;2715;7586287.448
2022;2;2022-02;2720;6984961.522
2022;2;2022-02;2730;4433213.023
2022;2;2022-02;2745;9807613.09
2022;2;2022-02;2755;2553546.418
2022;2;2022-02;2760;1381795.39
2022;2;2022-02;2780;8533717.636
2022;2;2022-02;2785;10476013.96
2022;2;2022-02;2815;2124842.942
2022;2;2022-02;2830;11323840.206
2022;2;2022-02;2835;9533555.173
2022;2;2022-02;2840;60057099.462
2022;2;2022-02;2865;4213604.721
2022;2;2022-02;2890;6885661.645
2022;2;2022-02;2900;19647254.965
2022;2;2022-02;2925;6236843.478
2022;2;2022-02;2955;5943982.199
2022;2;2022-02;2965;4105163.886
2022;2;2022-02;2970;7179444.23
2022;2;2022-02;2975;4597208.301
2022;2;2022-02;2985;3748169.431
2022;2;2022-02;3000;12008551.112
2022;2;2022-02;3030;12023245.112
2022;2;2022-02;3045;4710518.442
2022;2;2022-02;3080;8160932.656
2022;2;2022-02;3105;9061331.84
2022;2;2022-02;3270;1415630.202
2022;2;2022-02;3300;3720921.186
2022;2;2022-02;3430;2541693.556
2022;2;2022-02;3465;3812026.379
2022;2;2022-02;3475;780409.29
2022;2;2022-02;3500;11069764.558
2022;2;2022-02;3515;3572535.248
2022;2;2022-02;3530;14426849.726
2022;2;2022-02;3560;2422251.6
2022;2;2022-02;3620;2858568.616
2022;2;2022-02;3640;1416061.113
2022;2;2022-02;3650;1030655.355
2022;2;2022-02;3660;3826998.625
2022;2;2022-02;3680;4131914.43
